Time   1.3428942431089952 	 GenerateTXN: 4
Time   1.3428942431089952 	 Money in circulation = 0.0 coins
Time   1.4493690639653112 	 GenerateBlock: 9
Time   1.4493690639653112 	 Money in circulation = 50.0 coins
Time   1.6262124519043342 	 ReceiveTXN: 4 1 0
Time   1.6262124519043342 	 Money in circulation = 50.0 coins
Time   1.6446990859471868 	 ReceiveTXN: 4 9 0
Time   1.6446990859471868 	 Money in circulation = 50.0 coins
Time   1.6799055362392143 	 ReceiveTXN: 1 3 0
Time   1.6799055362392143 	 Money in circulation = 50.0 coins
Time   1.7462293629111476 	 ReceiveBlock: 9 5 1
Time   1.7462293629111476 	 Money in circulation = 50.0 coins
Time   1.8090827772442948 	 ReceiveBlock: 9 4 1
Time   1.8090827772442948 	 Money in circulation = 50.0 coins
Time   1.9152732704649253 	 ReceiveTXN: 3 0 0
Time   1.9152732704649253 	 Money in circulation = 50.0 coins
Time   1.940160638065946 	 ReceiveTXN: 9 5 0
Time   1.940160638065946 	 Money in circulation = 50.0 coins
Time   2.0476643855030146 	 ReceiveBlock: 5 2 1
Time   2.0476643855030146 	 Money in circulation = 50.0 coins
Time   2.083448074389141 	 GenerateTXN: 1
Time   2.083448074389141 	 Money in circulation = 50.0 coins
Time   2.0925311430086535 	 ReceiveBlock: 4 1 1
Time   2.0925311430086535 	 Money in circulation = 50.0 coins
Time   2.1321167609453906 	 ReceiveTXN: 1 3 2
Time   2.1321167609453906 	 Money in circulation = 50.0 coins
Time   2.1373641161268253 	 ReceiveTXN: 3 8 0
Time   2.1373641161268253 	 Money in circulation = 50.0 coins
Time   2.140894707783689 	 ReceiveBlock: 1 3 1
Time   2.140894707783689 	 Money in circulation = 50.0 coins
Time   2.172758290795625 	 ReceiveTXN: 0 6 0
Time   2.172758290795625 	 Money in circulation = 50.0 coins
Time   2.197941469772172 	 ReceiveTXN: 1 4 2
Time   2.197941469772172 	 Money in circulation = 50.0 coins
Time   2.241645234597165 	 ReceiveTXN: 5 2 0
Time   2.241645234597165 	 Money in circulation = 50.0 coins
Time   2.2434512781284575 	 ReceiveBlock: 2 6 1
Time   2.2434512781284575 	 Money in circulation = 50.0 coins
Time   2.2802437530728596 	 ReceiveTXN: 6 2 0
Time   2.2802437530728596 	 Money in circulation = 50.0 coins
Time   2.366962987459865 	 ReceiveTXN: 3 0 2
Time   2.366962987459865 	 Money in circulation = 50.0 coins
Time   2.374761798112099 	 ReceiveBlock: 3 0 1
Time   2.374761798112099 	 Money in circulation = 50.0 coins
Time   2.376071728171438 	 ReceiveTXN: 8 6 0
Time   2.376071728171438 	 Money in circulation = 50.0 coins
Time   2.378399907975434 	 GenerateBlock: 2
Time   2.378399907975434 	 Money in circulation = 100.0 coins
Time   2.392876472003518 	 ReceiveTXN: 0 7 0
Time   2.392876472003518 	 Money in circulation = 100.0 coins
Time   2.3996443289648286 	 ReceiveTXN: 8 7 0
Time   2.3996443289648286 	 Money in circulation = 100.0 coins
Time   2.439391575210165 	 ReceiveTXN: 2 6 0
Time   2.439391575210165 	 Money in circulation = 100.0 coins
Time   2.500064790413943 	 ReceiveTXN: 4 9 2
Time   2.500064790413943 	 Money in circulation = 100.0 coins
Time   2.5749263204157606 	 ReceiveBlock: 2 6 2
Time   2.5749263204157606 	 Money in circulation = 100.0 coins
Time   2.5845598452267944 	 ReceiveTXN: 3 8 2
Time   2.5845598452267944 	 Money in circulation = 100.0 coins
Time   2.5981254346239115 	 ReceiveBlock: 3 8 1
Time   2.5981254346239115 	 Money in circulation = 100.0 coins
Time   2.608604599189266 	 ReceiveBlock: 6 0 1
Time   2.608604599189266 	 Money in circulation = 100.0 coins
Time   2.6216014898077975 	 ReceiveTXN: 0 6 2
Time   2.6216014898077975 	 Money in circulation = 100.0 coins
Time   2.629953141571889 	 ReceiveBlock: 0 6 1
Time   2.629953141571889 	 Money in circulation = 100.0 coins
Time   2.6302779263543643 	 ReceiveTXN: 6 8 0
Time   2.6302779263543643 	 Money in circulation = 100.0 coins
Time   2.6728969821325546 	 GenerateTXN: 2
Time   2.6728969821325546 	 Money in circulation = 70.0 coins
Time   2.7000909273253515 	 ReceiveBlock: 6 8 1
Time   2.7000909273253515 	 Money in circulation = 70.0 coins
Time   2.7273680702236707 	 ReceiveTXN: 6 2 2
Time   2.7273680702236707 	 Money in circulation = 70.0 coins
Time   2.7670301419472345 	 ReceiveTXN: 7 8 0
Time   2.7670301419472345 	 Money in circulation = 70.0 coins
Time   2.796210515334616 	 ReceiveTXN: 9 5 2
Time   2.796210515334616 	 Money in circulation = 70.0 coins
Time   2.8043501380308147 	 ReceiveBlock: 2 5 2
Time   2.8043501380308147 	 Money in circulation = 70.0 coins
Time   2.8127207284016342 	 ReceiveTXN: 8 6 2
Time   2.8127207284016342 	 Money in circulation = 70.0 coins
Time   2.827780870562955 	 ReceiveBlock: 8 6 1
Time   2.827780870562955 	 Money in circulation = 70.0 coins
Time   2.8433993801915918 	 ReceiveTXN: 0 7 2
Time   2.8433993801915918 	 Money in circulation = 70.0 coins
Time   2.847152910169029 	 ReceiveTXN: 8 7 2
Time   2.847152910169029 	 Money in circulation = 70.0 coins
Time   2.8488583520004096 	 ReceiveBlock: 0 7 1
Time   2.8488583520004096 	 Money in circulation = 70.0 coins
Time   2.8607162282892866 	 ReceiveBlock: 8 7 1
Time   2.8607162282892866 	 Money in circulation = 70.0 coins
Time   2.8704630776086915 	 ReceiveTXN: 2 6 4
Time   2.8704630776086915 	 Money in circulation = 100.0 coins
Time   2.938808767374216 	 ReceiveBlock: 6 0 2
Time   2.938808767374216 	 Money in circulation = 100.0 coins
Time   3.034410654393006 	 ReceiveBlock: 6 8 2
Time   3.034410654393006 	 Money in circulation = 100.0 coins
Time   3.077933061140815 	 ReceiveTXN: 6 8 2
Time   3.077933061140815 	 Money in circulation = 100.0 coins
Time   3.103164890051348 	 ReceiveTXN: 5 2 2
Time   3.103164890051348 	 Money in circulation = 100.0 coins
Time   3.1059682441813665 	 ReceiveTXN: 2 5 4
Time   3.1059682441813665 	 Money in circulation = 100.0 coins
Time   3.1219979987727924 	 ReceiveBlock: 0 3 2
Time   3.1219979987727924 	 Money in circulation = 100.0 coins
Time   3.147675442386669 	 GenerateTXN: 0
Time   3.147675442386669 	 Money in circulation = 100.0 coins
Time   3.154348457885625 	 ReceiveTXN: 2 5 2
Time   3.154348457885625 	 Money in circulation = 100.0 coins
Time   3.2175615042959866 	 ReceiveTXN: 7 8 2
Time   3.2175615042959866 	 Money in circulation = 100.0 coins
Time   3.2230580555127024 	 ReceiveBlock: 7 8 1
Time   3.2230580555127024 	 Money in circulation = 100.0 coins
Time   3.229690622096969 	 ReceiveTXN: 6 0 4
Time   3.229690622096969 	 Money in circulation = 100.0 coins
Time   3.247508123215903 	 ReceiveBlock: 5 9 2
Time   3.247508123215903 	 Money in circulation = 100.0 coins
Time   3.2872749239445858 	 GenerateTXN: 2
Time   3.2872749239445858 	 Money in circulation = 93.0 coins
Time   3.2966832577908907 	 ReceiveBlock: 8 7 2
Time   3.2966832577908907 	 Money in circulation = 93.0 coins
Time   3.3246556247483348 	 ReceiveTXN: 6 8 4
Time   3.3246556247483348 	 Money in circulation = 93.0 coins
Time   3.330118724102973 	 ReceiveTXN: 0 3 5
Time   3.330118724102973 	 Money in circulation = 93.0 coins
Time   3.386654890596587 	 ReceiveBlock: 8 3 2
Time   3.386654890596587 	 Money in circulation = 93.0 coins
Time   3.40474173355749 	 ReceiveTXN: 0 6 5
Time   3.40474173355749 	 Money in circulation = 93.0 coins
Time   3.4133626330927815 	 ReceiveTXN: 0 3 4
Time   3.4133626330927815 	 Money in circulation = 93.0 coins
Time   3.414969242688564 	 ReceiveBlock: 0 7 2
Time   3.414969242688564 	 Money in circulation = 93.0 coins
Time   3.441370198261601 	 ReceiveBlock: 3 1 2
Time   3.441370198261601 	 Money in circulation = 93.0 coins
Time   3.488284659698482 	 ReceiveTXN: 2 6 6
Time   3.488284659698482 	 Money in circulation = 93.0 coins
Time   3.5105212521795055 	 ReceiveTXN: 6 2 5
Time   3.5105212521795055 	 Money in circulation = 93.0 coins
Time   3.552251341673653 	 ReceiveTXN: 5 9 4
Time   3.552251341673653 	 Money in circulation = 93.0 coins
Time   3.5558399194023664 	 ReceiveBlock: 1 4 2
Time   3.5558399194023664 	 Money in circulation = 93.0 coins
Time   3.5744625571271165 	 ReceiveBlock: 3 8 2
Time   3.5744625571271165 	 Money in circulation = 93.0 coins
Time   3.586979449753426 	 ReceiveTXN: 8 7 4
Time   3.586979449753426 	 Money in circulation = 93.0 coins
Time   3.6073525963001596 	 ReceiveBlock: 9 4 2
Time   3.6073525963001596 	 Money in circulation = 93.0 coins
Time   3.622860593504156 	 ReceiveTXN: 0 7 5
Time   3.622860593504156 	 Money in circulation = 93.0 coins
Time   3.6468483814335437 	 ReceiveTXN: 3 1 5
Time   3.6468483814335437 	 Money in circulation = 93.0 coins
Time   3.6767257648700156 	 ReceiveTXN: 8 3 4
Time   3.6767257648700156 	 Money in circulation = 93.0 coins
Time   3.710532226016556 	 ReceiveTXN: 0 7 4
Time   3.710532226016556 	 Money in circulation = 93.0 coins
Time   3.713022340477537 	 ReceiveTXN: 2 5 6
Time   3.713022340477537 	 Money in circulation = 100.0 coins
Time   3.73121024924106 	 ReceiveTXN: 3 1 4
Time   3.73121024924106 	 Money in circulation = 100.0 coins
Time   3.7611948075747836 	 ReceiveTXN: 1 4 5
Time   3.7611948075747836 	 Money in circulation = 100.0 coins
Time   3.7703056799570795 	 ReceiveBlock: 7 0 2
Time   3.7703056799570795 	 Money in circulation = 100.0 coins
Time   3.785191683357514 	 ReceiveTXN: 3 8 5
Time   3.785191683357514 	 Money in circulation = 100.0 coins
Time   3.845676784541544 	 ReceiveTXN: 1 4 4
Time   3.845676784541544 	 Money in circulation = 100.0 coins
Time   3.8493671873152238 	 ReceiveTXN: 6 0 6
Time   3.8493671873152238 	 Money in circulation = 100.0 coins
Time   3.85773706676498 	 ReceiveBlock: 4 9 2
Time   3.85773706676498 	 Money in circulation = 100.0 coins
Time   3.858784377410087 	 ReceiveTXN: 6 8 5
Time   3.858784377410087 	 Money in circulation = 100.0 coins
Time   3.8666164989005436 	 ReceiveTXN: 3 8 4
Time   3.8666164989005436 	 Money in circulation = 100.0 coins
Time   3.9120701153252773 	 ReceiveTXN: 9 4 4
Time   3.9120701153252773 	 Money in circulation = 100.0 coins
Time   3.936920761261411 	 ReceiveTXN: 2 5 5
Time   3.936920761261411 	 Money in circulation = 100.0 coins
Time   3.9435743786880577 	 ReceiveTXN: 6 8 6
Time   3.9435743786880577 	 Money in circulation = 100.0 coins
Time   3.9970176020502475 	 ReceiveTXN: 7 8 5
Time   3.9970176020502475 	 Money in circulation = 100.0 coins
Time   4.013587365216454 	 ReceiveTXN: 8 6 5
Time   4.013587365216454 	 Money in circulation = 100.0 coins
Time   4.020791098001942 	 GenerateBlock: 7
Time   4.020791098001942 	 Money in circulation = 150.0 coins
Time   4.033348569741502 	 ReceiveTXN: 0 3 6
Time   4.033348569741502 	 Money in circulation = 150.0 coins
Time   4.047521496052723 	 ReceiveTXN: 8 7 5
Time   4.047521496052723 	 Money in circulation = 150.0 coins
Time   4.061032373907577 	 ReceiveTXN: 7 0 4
Time   4.061032373907577 	 Money in circulation = 150.0 coins
Time   4.062977586563859 	 ReceiveTXN: 4 9 5
Time   4.062977586563859 	 Money in circulation = 150.0 coins
Time   4.114772770599105 	 GenerateBlock: 2
Time   4.114772770599105 	 Money in circulation = 200.0 coins
Time   4.147478645553614 	 ReceiveTXN: 4 9 4
Time   4.147478645553614 	 Money in circulation = 200.0 coins
Time   4.157182143632078 	 ReceiveTXN: 5 9 6
Time   4.157182143632078 	 Money in circulation = 200.0 coins
Time   4.206057572860987 	 ReceiveTXN: 8 7 6
Time   4.206057572860987 	 Money in circulation = 200.0 coins
Time   4.2961126529447595 	 ReceiveTXN: 8 3 6
Time   4.2961126529447595 	 Money in circulation = 200.0 coins
Time   4.31498253535261 	 ReceiveBlock: 2 6 4
Time   4.31498253535261 	 Money in circulation = 200.0 coins
Time   4.3238284859510365 	 ReceiveTXN: 0 7 6
Time   4.3238284859510365 	 Money in circulation = 200.0 coins
Time   4.349886076516649 	 ReceiveTXN: 3 1 6
Time   4.349886076516649 	 Money in circulation = 200.0 coins
Time   4.358039291059686 	 ReceiveTXN: 9 5 5
Time   4.358039291059686 	 Money in circulation = 200.0 coins
Time   4.380026766442424 	 ReceiveTXN: 5 9 5
Time   4.380026766442424 	 Money in circulation = 200.0 coins
Time   4.395146582063264 	 ReceiveBlock: 7 8 3
Time   4.395146582063264 	 Money in circulation = 200.0 coins
Time   4.464263017242767 	 ReceiveTXN: 1 4 6
Time   4.464263017242767 	 Money in circulation = 200.0 coins
Time   4.48642144948456 	 ReceiveTXN: 3 8 6
Time   4.48642144948456 	 Money in circulation = 200.0 coins
Time   4.499282448959063 	 ReceiveBlock: 7 0 3
Time   4.499282448959063 	 Money in circulation = 200.0 coins
Time   4.516948697496101 	 ReceiveTXN: 9 4 6
Time   4.516948697496101 	 Money in circulation = 200.0 coins
Time   4.541578392037135 	 ReceiveBlock: 2 5 4
Time   4.541578392037135 	 Money in circulation = 200.0 coins
Time   4.623388078649661 	 ReceiveBlock: 8 6 3
Time   4.623388078649661 	 Money in circulation = 200.0 coins
Time   4.675490572066392 	 ReceiveBlock: 6 0 4
Time   4.675490572066392 	 Money in circulation = 200.0 coins
Time   4.683388860269372 	 ReceiveTXN: 7 0 6
Time   4.683388860269372 	 Money in circulation = 200.0 coins
Time   4.685688010390768 	 ReceiveBlock: 0 3 3
Time   4.685688010390768 	 Money in circulation = 200.0 coins
Time   4.730501538270505 	 ReceiveBlock: 6 2 3
Time   4.730501538270505 	 Money in circulation = 200.0 coins
Time   4.7341992852238395 	 GenerateTXN: 6
Time   4.7341992852238395 	 Money in circulation = 179.0 coins
Time   4.750289257982254 	 ReceiveBlock: 8 3 3
Time   4.750289257982254 	 Money in circulation = 179.0 coins
Time   4.7560644797527525 	 ReceiveBlock: 0 6 3
Time   4.7560644797527525 	 Money in circulation = 179.0 coins
Time   4.766046979536103 	 ReceiveTXN: 4 9 6
Time   4.766046979536103 	 Money in circulation = 179.0 coins
Time   4.770037343943652 	 ReceiveBlock: 6 8 4
Time   4.770037343943652 	 Money in circulation = 179.0 coins
Time   4.839898353719219 	 ReceiveTXN: 6 2 9
Time   4.839898353719219 	 Money in circulation = 179.0 coins
Time   4.865106733875293 	 ReceiveBlock: 0 3 4
